label,ulasan
1,"Secara keseluruhan saya menyukai aplikasi ini, tetapi masih ada beberapa masalah. Beberapa di antaranya adalah ketika memasang spoiler ke media, sebagian besar masih tidak berfungsi. Yang lainnya (dan jujur, yang paling menjengkelkan) adalah ketika saya menggunakan obrolan suara,   sering secara otomatis menutup sendiri setelah beberapa waktu saat saya sedang bermain ... Full Review"
1,"  sebenarnya adalah aplikasi yang sangat bagus dan layak. Tetapi mengapa saya memberi peringkat 4/5 karena kami tidak dapat mengirim catatan suara (alias VN). Terkadang ketika saya setengah bangun atau ketika keyboard saya lag, saya tidak dapat mengetik, yang berarti saya tidak dapat membalas SMS orang. Catatan suara sebenarnya sangat berguna bagi sebagian orang! kami tidak memiliki... Ulasan Lengkap"
1,"Jujur luar biasa. Saya menganggap ini platform media sosial terbaik di luar sana. Opsi keamanan yang mudah namun hebat dan notifikasi yang dapat disesuaikan. Pada awalnya agak sulit untuk dinavigasi tetapi begitu Anda mendapatkannya, itu sangat mudah. Fleksibilitas   sangat bagus, dan fitur tak terbatas membuatnya menyenangkan... Ulasan Lengkap"
1,"Saya beri 4 bintang karena versi PC memiliki fitur untuk berpindah akun secara instan-- tetapi versi CP tidak. Sangat nyaman digunakan jika kita bisa berpindah akun semudah versi PC. Selain itu, MB untuk mengirim foto dan video terlalu terbatas. Bahkan dengan itu, itu masih aplikasi yang bagus. Hanya... Ulasan Lengkap"
0,"1. Autoscroll ke bawah tidak dapat dinonaktifkan yang sangat mengganggu saat membaca riwayat obrolan. 2. Saat mencari sesuatu dan memilih hasil, Anda tidak dapat kembali ke daftar semua hasil pencarian. (Anda dapat mengklik tombol pencarian lagi, tetapi scoll akan diatur ulang) Ini bukan ilmu roket. Sebuah... Ulasan Lengkap"
1,Benar-benar waktu yang baik menggunakan aplikasi ini. Saya bisa mengobrol dengan teman-teman saya dan berbagi banyak hal bersama. Saya berharap ukuran pengiriman video sedikit lebih besar karena saya dapat mengurangi klip game menjadi beberapa detik dan masih melebihi 8mb. Saya juga ingin bertanya apakah Anda dapat menambahkan fitur di mana saya masih dapat ... Ulasan Lengkap
1,"Ini adalah aplikasi yang bagus dan sangat mudah digunakan, tetapi Anda tetap tidak dapat membagikan video sama sekali kecuali dari bot, ketika Anda mencoba video tersebut tidak dapat diputar dan tidak dapat diunduh, ia akan mengatakan bahwa itu telah diunduh tetapi tidak dapat' t muncul di mana saja di ponsel Anda. Dan bahkan dengan pembaruan terbaru, bug ini belum diperbaiki. Dan untuk... Ulasan Lengkap"
1,"Aplikasi hebat, menyelesaikan masalah dengan cepat jika ada. Namun sesuatu yang telah mengganggu saya untuk sementara waktu adalah kenyataan bahwa tidak ada fitur Audio di Direct Messages. Sesuatu di mana Anda dapat dengan mudah merekam dan mengirim audio pendek. Akan meningkatkan banyak aplikasi dan membuat banyak hal lebih mudah."
1,"  adalah aplikasi sosial yang cukup bagus, pada perangkat yang dioptimalkan untuknya. Galaxy Tab s7+ menggunakan antarmuka smartphone  , padahal seharusnya menggunakan antarmuka yang sudah tersedia di ipads, atau hanya menempatkan versi desktop ke android. Mode DeX lebih sama, ekstrimnya... Ulasan Lengkap"
1,"Bekerja sebagaimana dimaksud di luar panggilan. Namun ketika dalam panggilan untuk sesi yang lama, aplikasi perlahan-lahan menurunkan kinerjanya saat aplikasi digunakan. Ini akan mengambil lag sampai akhirnya membeku dan crash. Masalah ini telah hadir untuk sementara waktu sekarang dan itu sangat mengecewakan. Untuk referensi masalah ini tampaknya ... Ulasan Lengkap"
